City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
272,Cileungsi,-6.3947,106.9592,82.4,77,83,2.1,ID,broken clouds
273,Quito,-0.2299,-78.5249,47.35,92,100,3.04,EC,moderate rain
274,Aksarka,66.5606,67.7975,37.0,83,98,10.09,RU,overcast clouds
275,San Cristobal,7.7669,-72.225,73.58,96,100,1.68,VE,overcast clouds
276,Syamzha,60.0158,41.0614,46.45,98,100,2.86,RU,overcast clouds
277,Tarata,-17.6167,-66.0167,67.42,58,55,5.86,BO,broken clouds
278,Central Point,42.376,-122.9164,89.28,32,0,1.01,US,clear sky
279,Saint-Joseph,-21.3667,55.6167,66.58,76,29,11.41,RE,scattered clouds
280,Wodonga,-36.1167,146.8833,55.11,100,100,6.91,AU,overcast clouds
281,Pakxan,18.3778,103.6601,73.11,95,74,2.77,LA,broken clouds
282,Ahipara,-35.1667,173.1667,52.9,63,98,18.19,NZ,overcast clouds
283,Kloulklubed,7.0419,134.2556,82.9,73,85,9.13,PW,overcast clouds
284,Chicama,-7.8447,-79.1469,59.54,79,70,7.16,PE,broken clouds
285,Rio Grande,-32.035,-52.0986,64.51,83,79,16.35,BR,moderate rain
286,Ayan,56.45,138.1667,33.69,48,89,18.72,RU,overcast clouds
287,Kilembe,0.2,30.0,60.49,91,100,3.71,UG,overcast clouds
288,Bonoua,5.2741,-3.595,76.62,95,38,4.59,CI,scattered clouds
289,Eyl,7.9803,49.8164,77.2,81,100,13.11,SO,overcast clouds
290,Staroye Drozhzhanoye,54.7266,47.5677,48.13,85,97,9.86,RU,overcast clouds
291,Ughelli,5.4899,6.0074,74.44,96,94,3.49,NG,light rain
292,Manzhouli,49.6,117.4333,30.49,49,35,5.03,CN,scattered clouds
293,Inhambane,-23.865,35.3833,70.32,92,0,7.56,MZ,clear sky
294,Thomaston,32.8882,-84.3266,77.31,36,0,3.44,US,clear sky
295,Vao,-22.6667,167.4833,70.83,59,98,11.36,NC,overcast clouds
296,Vondrozo,-22.8167,47.2833,57.99,99,14,0.65,MG,few clouds
297,Bognor Regis,50.7821,-0.6798,56.93,78,1,19.66,GB,clear sky
298,Tessalit,20.1986,1.0114,89.6,14,73,10.04,ML,broken clouds
299,Manadhoo,5.7667,73.3833,81.5,78,100,18.72,MV,overcast clouds
300,Rosarito,32.3333,-117.0333,76.41,76,34,5.75,MX,scattered clouds
301,Billings,45.7833,-108.5007,76.77,31,40,1.01,US,scattered clouds
302,Bubaque,11.2833,-15.8333,81.64,80,31,6.38,GW,light rain
303,Kampot,10.6167,104.1833,77.05,90,100,6.29,KH,overcast clouds
304,Koubia,11.5833,-11.9,67.41,93,84,1.01,GN,light rain
305,Yeola,20.0333,74.4833,73.69,80,100,6.64,IN,overcast clouds
306,Sabang,5.8933,95.3214,79.92,78,100,16.93,ID,overcast clouds
